County,ID,Ordering
Orange,1205262,409
Orange,1209931,410
Orange,1205255,411
Orange,1205260,412
Orange,1205269,413
Orange,1209943,414
Orange,1209951,415
Orange,1205290,416
Orange,1209965,417
Orange,1209959,418
Orange,1205281,419
Orange,1209964,420
Orange,1210004,421
Orange,1210011,422
Orange,1210020,423
Orange,1205303,424
Orange,1205320,425
Orange,1205315,426
Orange,1210034,427
Orange,1205330,428
Orange,1212013,429
Orange,1212015,430
Orange,1212143,431
Orange,1212142,432
Orange,1205369,433
Orange,1205373,434
Orange,1205375,435
Orange,1212038,436
Orange,1205341,437
Orange,1212622,438
Orange,1212268,439
Orange,1213943,440
Orange,1212252,441
Orange,1213944,442
Orange,1205380,443
Orange,1212247,444
Orange,1212250,445
Orange,1212261,446
Orange,1212263,447
Orange,1212264,448
Orange,1212150,449
Orange,1212045,450
Orange,1212001,451
Orange,1205409,452
Orange,1205400,453
Orange,1205406,454
Orange,1212664,455
Orange,1212665,456
Orange,1212115,457
Orange,1212224,458
Orange,1212117,459
Orange,1212217,460
Orange,1212216,461
Orange,1205426,462
Orange,1205432,463
Orange,1205430,464
Orange,1212179,465
Orange,1205452,466
Orange,1205446,467
Orange,1212191,468
Orange,1212265,469
Orange,1205468,470
Orange,1205471,471
Orange,1205473,472
Orange,1205493,473
Orange,1212627,474
Orange,1205487,475
Orange,1205491,476
Orange,1212649,477
Orange,1212648,478
Orange,1205517,479
Orange,1205513,480
Orange,1212691,481
Orange,1212689,482
Orange,1212578,483
Orange,1205528,484
Orange,1212595,485
Orange,1212588,486
Orange,1205553,487
Orange,1205551,488
Orange,1212565,489
Orange,1212566,490
Orange,1205546,491
Orange,1212609,492
Orange,1205558,493
Orange,1205562,494
Orange,1205567,495
Orange,1212672,496
Orange,1213407,497
Orange,1205590,498
Orange,1213418,499
Orange,1213419,500
Orange,1214009,501
Orange,1214007,502
Orange,1214005,503
Orange,1214010,504
Orange,1216517,505
Orange,1205607,506
Orange,1205601,507
Orange,1216522,508
Orange,1216505,509
Orange,1216507,510
Orange,1216489,511
Orange,1205623,512
Orange,1216485,513
Orange,1205636,514
Orange,1216409,515
Orange,1205658,516
Orange,1205656,517
Orange,1216582,518
Orange,1205651,519
Orange,1216545,520
Orange,1216538,521
Orange,1205680,522
Orange,1205673,523
Orange,1205678,524
Los Angeles,762347,525
Los Angeles,716896,526
Los Angeles,716899,527
Los Angeles,762355,528
Los Angeles,715901,529
Los Angeles,716900,530
Los Angeles,715903,531
Los Angeles,762353,532
Los Angeles,775012,533
Los Angeles,716904,534
Los Angeles,716903,535
Los Angeles,715905,536
Los Angeles,718358,537
Los Angeles,769626,538
Los Angeles,769625,539
Los Angeles,718081,540
Los Angeles,762357,541
Los Angeles,718360,542
Los Angeles,759518,543
Los Angeles,715910,544
Los Angeles,759514,545
Los Angeles,715912,546
Los Angeles,759513,547
Los Angeles,715915,548
Los Angeles,715918,549
Los Angeles,762359,550
Los Angeles,768489,551
Los Angeles,768488,552
Los Angeles,764232,553
Los Angeles,764393,554
Los Angeles,768507,555
Los Angeles,763985,556
Los Angeles,715924,557
Los Angeles,759530,558
Los Angeles,759531,559
Los Angeles,715926,560
Los Angeles,759542,561
Los Angeles,759552,562
Los Angeles,715927,563
Los Angeles,759551,564
Los Angeles,715930,565
Los Angeles,716921,566
Los Angeles,715933,567
Los Angeles,716923,568
Los Angeles,775574,569
Los Angeles,763975,570
Los Angeles,716925,571
Los Angeles,765429,572
Los Angeles,762378,573
Los Angeles,715938,574
Los Angeles,716929,575
Los Angeles,768552,576
Los Angeles,771209,577
Los Angeles,763791,578
Los Angeles,768532,579
Los Angeles,764435,580
Los Angeles,715944,581
Los Angeles,718086,582
Los Angeles,775569,583
Los Angeles,768536,584
Los Angeles,716933,585
Los Angeles,715949,586
Los Angeles,759566,587
Los Angeles,775564,588
Los Angeles,768540,589
Los Angeles,759572,590
Los Angeles,759576,591
Los Angeles,715953,592
Los Angeles,766950,593
Los Angeles,716937,594
Los Angeles,763700,595
Los Angeles,766927,596
Los Angeles,766928,597
Los Angeles,716942,598
Los Angeles,774189,599
Los Angeles,718087,600
Los Angeles,763237,601
Los Angeles,715967,602
Los Angeles,716951,603
Los Angeles,716950,604
Los Angeles,718371,605
Los Angeles,716952,606
Los Angeles,715969,607
Los Angeles,716953,608
Los Angeles,763674,609
Los Angeles,763669,610
Los Angeles,716956,611
Los Angeles,715970,612
Los Angeles,759591,613
Los Angeles,759590,614
Los Angeles,718377,615
Los Angeles,775734,616
Los Angeles,759602,617
Los Angeles,718088,618
Los Angeles,718380,619
Los Angeles,761599,620
Los Angeles,761604,621
Los Angeles,768675,622
